var	hpa	hpy	cpa	cpy
ssb	0.000342303	0.534691543	0.259048611	0.251558247
gvy	0.000644834	0.018265478	0.278471546	0.54515407
pfm	0.009083554	0.778523137	0.010848645	0.062361859
tsl	0.011770234	0.04252878	0.259048611	0.4603672
plc	0.933935487	0.501264222	0.39486797	0.436818871
ssa	1	0.534691543	0.256076053	0.513076998
len	0.814385508	0.778523137	0.0387449	0.084083389
pip	0.129304141	0.297455769	0.345322147	0.548950187
chg	0.108170218	0.000800697	0.777563439	0.084083389
csl	0.000342303	0.019967682	0.544587562	0.54515407
ssc	0.011770234	0.474552827	0.003769074	0.707215251
mfc	0.011770234	0.342963109	0.345322147	0.203179438
phs	0.060929272	0.414882665	0.990358551	0.062361859
rbp	8.52E-05	0.474552827	0.035999168	0.062361859
dis	1.23E-05	0.295080206	0.054714936	0.901818826
