var	hpa	hpy	cpa	cpy
ssb	0.317312458	-0.143320611	0.11840507	0.140084271
gvy	0.296709388	-0.440326687	0.081251841	-0.183334286
pfm	0.264758914	-0.035950912	0.225962588	-0.288918113
tsl	0.148885853	-0.318509013	0.074002131	-0.317827038
plc	0.013002005	0.094347354	0.059825917	0
ssa	-0.014317247	-0.072318709	0.110543298	-0.083866404
len	-0.023725537	0.104902881	-0.094971192	0.248575338
pip	-0.144301357	0.192808256	-0.102479859	0.096446769
chg	-0.167900855	0.542184212	-0.024288315	0.278097626
csl	-0.254975274	0.434167891	-0.012849977	0.170894688
ssc	-0.265986167	0.15018363	-0.232346096	0.015766292
mfc	-0.267049802	0.201731824	-0.046515855	-0.286035169
phs	-0.282370173	0.162345396	-0.014039811	0.177655728
rbp	-0.373680457	0.087866182	-0.199278352	0.375281319
dis	-0.58639424	0.25430552	-0.165150475	0.011510429
